Nome da Equipe,Treinador,Treinador Wins,Treinador Runs,Treinador Placed,Jockey,Jockey Wins,Jockey Rides,Jockey 2nds,Jockey 3rds
 Crackalackin,DR,44,303,75,RR,693,4133,563,545
Golden Garden,JO,131,1286,240,SO,248,2078,231,250
Channagide,MB,207,1733,369,MG,307,2224,285,235
Westlain,JJ,65,499,113,MG,108,1180,118,126
Georginio,AW,352,2628,517,MG,603,4252,543,514
Hot Like Me,RS,102,877,189,GW,90,959,105,111
onic Pioneer,JM,9,52,7,DM,452,3299,432,396
Hock Eye The Noo,CJ,321,2647,514,CS,323,2899,332,349
Yellow Card,OS,53,359,69,TW,161,1784,134,181
Romantic Spirit,DM,88,750,117,TM,577,3711,432,476
Pine Cliffs,JP,100,1154,245,HC,347,2089,253,256
